name,id,top_category,rating,review_count,postal_code
Ipanema Restaurant,ipanema-restaurant-new-york,brazilian,4,652,10036
,,,,,
Tanner Smiths,tanner-smiths-new-york,cocktailbars,4.5,406,10019
,,,,,
Between the Bread Eatery,between-the-bread-eatery-new-york,cafes,4,66,10019
,,,,,
Tisserie 55,tisserie-55-new-york,cafes,4,184,10019
,,,,,
99 Cent Fresh Pizza,99-cent-fresh-pizza-new-york-5,pizza,4,229,10019
,,,,,
Blue Dog Kitchen Bar,blue-dog-kitchen-bar-new-york-3,sandwiches,4,502,10019
,,,,,
Pizzarte,pizzarte-new-york,pizza,4,640,10019
,,,,,
Up Thai,up-thai-new-york,thai,4.5,1023,10021
,,,,,
Cafe Noi,cafe-noi-new-york,coffee,4,230,10075
,,,,,
The Meatball Shop,the-meatball-shop-new-york-6,tradamerican,3.5,485,10075
,,,,,
Good Health,good-health-new-york,vegetarian,4,200,10021
,,,,,
Maroni Hot Pots,maroni-hot-pots-new-york-2,italian,4.5,83,10075
,,,,,
Uva,uva-new-york,italian,4,1707,10075
,,,,,
Heidi's House,heidis-house-new-york-2,wine_bars,4.5,435,10075
,,,,,
Oita Sushi,oita-sushi-new-york,sushi,4.5,124,10021
,,,,,
Xi'an Famous Foods,xian-famous-foods-new-york-15,chinese,4,249,10075
,,,,,
Sashimi Express,sashimi-express-new-york,sushi,4.5,111,10075
,,,,,
mamagyro,mamagyro-new-york,greek,3.5,295,10075
,,,,,
Dos Toros Taqueria,dos-toros-taqueria-new-york-3,mexican,3.5,294,10075
,,,,,
H & H Midtown Bagels East,h-and-h-midtown-bagels-east-new-york,bagels,4,493,10028
,,,,,
Burger One,burger-one-new-york,burgers,4,129,10075
,,,,,
Luke's Lobster,lukes-lobster-new-york-2,seafood,4,996,10028
,,,,,
Chirping Chicken,chirping-chicken-new-york-11,chicken_wings,4.5,21,10028
,,,,,
Big Boss Halal Food,big-boss-halal-food-new-york,foodstands,4.5,76,10021
,,,,,
Beyoglu,beyoglu-new-york,turkish,4,926,10028
,,,,,
Greek Eats,greek-eats-new-york,greek,4,154,10065
,,,,,
Via Quadronno,via-quadronno-new-york,sandwiches,4,399,10021
,,,,,
Omar's Kitchen & Bakery,omars-kitchen-and-bakery-new-york,halal,4.5,370,10022
,,,,,
Little Collins,little-collins-new-york,cafes,4.5,482,10022
,,,,,
My Pie,my-pie-new-york,italian,4.5,317,10022
,,,,,
Mysttik Masaala,mysttik-masaala-new-york-3,foodtrucks,4.5,206,10022
,,,,,
King of Falafel & Shawarma - Cart,king-of-falafel-and-shawarma-cart-new-york,falafel,4.5,120,10022
,,,,,
Uncle Gussy's,uncle-gussys-new-york,greek,4.5,332,10154
,,,,,
NY Jumbo Bagels,ny-jumbo-bagels-new-york,sandwiches,4,191,10022
,,,,,
Totto Ramen,totto-ramen-new-york-6,ramen,4,617,10022
,,,,,
Cabana Restaurant,cabana-restaurant-new-york,latin,4,480,10021
,,,,,
Tina's Cuban Cuisine,tinas-cuban-cuisine-new-york-3,cuban,4,492,10019
,,,,,
Luke's Lobster,lukes-lobster-new-york-6,seafood,4,326,10019
,,,,,
D & S Market Place,d-and-s-market-place-new-york,delis,4.5,127,10019
,,,,,
Dig Inn,dig-inn-new-york-16,newamerican,4,343,10019
,,,,,
Tony 'The Dragon' Dragonas,tony-the-dragon-dragonas-new-york,foodtrucks,4.5,146,10065
,,,,,
Pasha Restaurant,pasha-restaurant-new-york,turkish,4,305,10023
,,,,,
Ella Kitchen & Bar,ella-kitchen-and-bar-new-york-2,tapasmallplates,4,170,10023
,,,,,
Le Pif,le-pif-new-york-6,french,4,142,10023
,,,,,
Nanoosh,nanoosh-new-york,mideastern,3.5,337,10023
,,,,,
Vive La Crepe,vive-la-crepe-new-york-2,creperies,3.5,152,10023
,,,,,
Gray's Papaya,grays-papaya-new-york,hotdog,4,1168,10023
